Group,Functions
Unique reward,"redeemRewards, stakePendingRewards, rewardIndexesCurrent, queueNewRewards, createRewarder, airDropReward, includeInReward, excludeFromReward, transReward, preStartTimeRewards, batchHarvestMarketRewards, applyPendingRewards, changeRewardPerNode, withdrawRewards, WithdrawReward, addRewardFromPlatform, rewardHolders, pendingReward, reward, sellRewardToken, sendReward, rewardTrader, updateReward, setReward, generateReward"
Unique claim,"withdrawAndClaim, multiclaim, claimMultiple, claimAllReward, claimMultipleStaking, claimCvgCvxMultiple, rewardClaimed, claim_rewards, claimComp, claimNodeReward, claimToken1, Claim, stakeAndClaimReward, claimTeamReward, claimSelfApeCoin, claimStakeLp, claimDpcAirdrop"
Unique deposit,"depositAssetTo, depositBeans, depositMarket, processDeposit, initiateDeposit, submitAndDeposit, handleDeposit, depositLinkAndBorrowWETH, deposit_range, _deposit, handleMultipleDeposits, depositNbl, depositOnBehalf, depositToGasZipERC20, depositAsset, depositPLX, depositSPORE, transferDeposit, emitDeposit, depositSelfApeCoin, depositBAYC, depositFromOtherContract"
Unique flash,"batchFlashLoan, onBatchFlashLoan, flashloanReq"
Unique redeem,"redeemAtomic, unstakeAndRedeemPlp, redeemInYusd, nTokenRedeemViaBatch, maxRedeem, Redeem, instantRedeemLocal, afterRedeem"
Unique pool,"borrowOrTradeFromPool, receiveUpPool, registerPool, registerPenpiePool, setPoolInfo, handleDepeggedCurvePool, newPool, deployPool, CreateMassPools, reindexPool, siphonFundsFromPool, pool_mint, burnpoolXSD"
Unique burn,"burnRate, burnDivested, convertAndBurn, BURNER_ROLE, hourBurn, burnWithGasCompensation, burnAlp, emergencyBurn, burnToEther, fundManagerBurnFrom, _burn"
Unique operat,"isOperationDone, hashOperation, isOperationPending, performOperations"
Unique fee,"fee, swapExactETHForTokensWithFeeAmount, swapExactTokensForTokensWithFeeAmount, handleDeductFee, reflowDistributeFee, transferFromFee, feed, _transferFeesSupportingTaxTokens, setSellFee, setTaxFeePercent, setLiquidityFeePercent, setBuyFee, distributeFee, handleFees, processFee, transferToFeeCollectionAddress, convertFees, chargeFees, takeFees, registerFee, swapFee, collectFeeFromProtocol, withdraw_admin_fees, recordFee"
Unique set,"settleExpiredPositions, setRegistry, setWhitelist, setRouter, setReferrer, setEnableNextEpoch, setAuctionInProgress, hasAsset, setMerkleRoot, setVictim, setBNB, set_rate, setIndex, closeTrove, reset, setIsRebalancing, _setReserveFactor, setup, setOracleData, setCollectRate, setProxySync, setIRouter"
Unique sell,"placeSellOrder, Sell, sellUSDP, sellWithContribution, cancelPreviousSellOrders, sellToken, sellKr, sellShares, sellToLiquidityProvider, sellTokensToUsdc, sellSDO, sellTokenForToken, executeSellTokenForToken, sellZABU, sellBaseToken, fillSellOrder, sellItem, sellVillage"
Unique mint,"mintToPayable, mintForV2, mintPosition, mintPY, mintDivested, WhiteListMint, flipPauseMinting, mintETN, mintStaking, minter_mint, mintByYT, mintFor, mintPositionForUser, mintCheck, MINTER_ROLE, mintWithGasCompensation, mintQWA, mintLp, mintWithEther, beforeMint, totalMint, tx1_mintMassiveAmountOfBEUR, mintMSD, afterMint, mintHATE"
Unique borrow,"do_some_borrow, updateCompBorrowIndex, distributeBorrowerComp, handleBorrow, borrowAtMaturity, checkBorrow, notifyBorrowIndex, donateAndBorrow, updateBorrow, pledgeAndBorrow, totalBorrowsCurrent, notifyBorrower, afterBorrow, borrowBalanceStored, borrowWithinLimits, distributeBorrowerMnt, updateBorrowIndexesHistory"
Unique exchange,"doExchange, exchangeRate, updateExchangeRates"
Unique earn,claimEarned
Unique back,"doBuyback, transferBack, loanFallback"
Unique buy,"buyMiner, Buy_SBT, buyUSDP, buyItem, buyByBnb, buyTokensAndDepositOnBehalf, BuyToken, buyLeverage, buyFor, buyJay, buyBond, buyDei, buyADC, buyWithEthDynamic"
Unique exec,"verifyHeaderAndExecuteTx, executeRoute, execTransactionFromModule, executeProposalWithIndex"
Unique account,"openTrustedMarginAccount, addAccount, openAccount, removeLiquidityForAccount, addLiquidityForAccount, withdrawAccountBalance, accountBalance"
Unique liquid,"liquidateVault, removeLiquidityImbalance, calculateRemoveLiquidity, onDeferredLiquidityCheck, deferLiquidityCheck, computeLiquidity, checkLiquidation, liquidationERC721, addLiquidityBNB, withdrawOnLiquidation, liquidateBorrowVerify, updateLiquidityLimit, depositByAddLiquidity, withdrawAndRemoveLiquidity, afterLiquidateBorrow, beforeLiquidateBorrow, hvUpdateLiquidityLimit"
Unique repay,"repayBorrowBehalf, repayForAll, repayAtMaturity, swapAndRepay, liquidateWithSingleRepay, beforeRepayBorrow, afterRepayBorrow"
Unique remove,"removeAsset, removeBoostMultiplier, removeUnderlying"
Unique implement,"implementation, setImplementation"
Unique nft,"unlockFNFT, withdrawNft, withdrawFNFT, depositAdditionalToFNFT, createFNFT, pointFNFTToLock, depositNft, withdrawNFT"
Unique send,"sendMiner, sendto, multiSend, sendETHTo"
Unique call,"functionCallWithValue, multicallWithoutCheck, routerCallNative, waultSwapCall, BSCswapCall, delegateCallSwap, liquidationCall, polydexCall, extMulticall, mostRecentCaller, pangolinCall, ZyberCall, callBytes, BiswapCall, delegateCallReserves"
Unique callback,"pancakeV3MintCallback, flashCallback, LBFlashLoanCallback, algebraMintCallback, algebraFlashCallback, mintDepositCallback, predyTradeAfterCallback"
Unique init,initWallet
Unique price,"price_w, getUSDPrice, postPrice, getPriceOracleResponse, _setPriceOracle, changeNodePrice, assetPrices, cacheAssetPrice, setTokenPrice, getUnderlyingPrice, getAssetPrice"
Unique checkpoint,"user_checkpoint, checkpointGauge, hvCheckpoint, checkpointInterest, checkpoint"
Unique collateral,"addERC20CollateralOption, increaseCollateral, emitTroveCollateralUpdate, depositCollateralFrom, withdrawCollateral, _setCollateralFactor, updateTotalCollateral, enableAsCollateral"
Unique interest,"payInterestForOracle, _setInterestRateModel, updateInterest"
Unique approve,"approveDelegation, approveTrove"
Unique delegate,setDelegateApproval
Unique pair,"setPair, addPlayerPair, destory_pair_amount, burnPairs, registerPair"
Unique Cluster 0,"redemption_lp, rate_write, cc, f_0x4e515153, f_0xf986351d, mu_bond, mu_gold_bond, func_43kDPns, collat_XSD"
Unique Cluster 1,"drip, cook, dequeue, batch, shift, trigger, queryJoin, plugin, shoot, oracle, plot, accrualBlockTimestamp"
Unique Cluster 2,"bid, recoverLevOwnership, issue, go, rekt, clear, ack, reentrancyCheck, recover, allocate, recycle, decrease, Stack, remaining, counter, mostRecentBlock, fill, calDeductionADC"
Unique Cluster 3,"processRefunds, evaluateProposalOutcome, submitVote, submitProposal, putCurEpochConPubKeyBytes, doActionWithLeverage, user_referrer, performAction, confirmTransaction, submitValue, emitTroveDebtUpdate, submitAnswer, askQuestion, postProductivityChanged, notifySupplyIndex, submitTransaction, register"
Unique Cluster 4,"distributeSupplierComp, distributeAirdrop, supplyERC721, deploy, notifySupplier, subscribe, Subscribe, distributeDividends, decreaseProductivity, distributionStartBlock, distributionEndBlock, distributeRgt, distributeCAKEDividends, systemCalculations, distributeSupplierMnt"
Unique Cluster 5,"hack, vaultManagementAction, onCurve, rollToNextRound, unlockSlot, createLockedCampaign, safeMul, safeDiv, safeSub, justDoIt, createLock, checkOracle, exploitZS, zapToBMI, zapIn"
Unique Cluster 6,"markFromChainTxExist, ecMulG, ecMul, pyIndexCurrent, listItem"
Unique Cluster 7,"makeBid, createNewMarket, riskEngine, createMarket, contractWhitelist, leverage, purchasePlp, Invest, tradeWithHint, offerBid, _supportMarket, harvestMarket"
Unique Cluster 8,"editCounterPart, updateFor, updatePoint, updateCompSupplyIndex, updateExpiredOrders, updatePosition, updatePositionBoostMultiplier, upgradeSafe, updateTotalDebt, increaseProductivity, Upgrade, refresh, update_period, updateDistributionState, upgradeVillage, updateAllocation, updateSupplyIndexesHistory, upgradeTo, increaseCumulative"
Unique Cluster 9,"family, envelope, schedule, Do, record, saleU, activate, joinPledge, kill, thisAToB, violator, joker, edit, exercise, sweep, playGame, questionIds, credit, killMe, difference, invoke, abuse, Attack, protect, father, hope, pull, lift, act, ShortStart, vote, take, cross, wrap"
Unique Cluster 10,"goDead, onCurveBeta, crossDeleverage, reportSale, donateToReserves, grantRole, dumpETH, seizeVerify, donate, placeOrder, reserveMultiSync"
Unique Cluster 11,"bindRelationshipExternal, preProductivityChanged, importRelation, bindInvitor"
Unique Cluster 12,"pledge, pendle, controller, calcOutGivenIn, propose, modn, lendTo, cancelCampaign, intakeNumeraireLPRatio, pledge_lp, doIt, commitEth, lend, pledgein, yoink, lendRUSDY"
Unique Cluster 13,"quoteExactOutputSingle, quoteExactInput, enterStaking, exactOutput, insert, insertTrove, enableExploit, disableExploit, beforeSeize, afterSeize, calcStepIncome, enterWithUnderlying, beforeLend"
Unique Cluster 14,"LCOpenTimeout, exit2, exit1, expect1, nextEpoch, _Start, startAuction, evalCurve, outputNumeraire, run2, openTrove, closeOrder, processRoute, within1, queryExit, futureEpochTimeWrite, route, emitSync, randomTrade, startwith, joinGame, exploit2"
Unique Cluster 15,"createAaveDebt, createChannel, createYieldContract, newProduct, createContract, createVault, createAgreement, create, create_loan, managePosition, createNode, createTrove, createOrder, makePledge, createProxy"
Common test,"testExploit, test, testExp, testAttack, testHack, testExpolit, testPoC, testExample, updateStateOnRedeem, test_exploit"
Common transfer,"transfer, transferFrom, transferUnderlyingTo, safeTransferFrom, finalizeTransfer, transferVerify, transferOwnership, _transfer, transferToUser, safeCakeTransfer"
Common approve,approve
Common swap,"swap, swapExactTokensForTokens, swapTokensForExactTokens, swapExactETHForTokens, swapExactTokensForETH, swapExactAmountIn, onSwap, autoSwapAndAddToMarketing, swapAndLiquifyStepv1, unoswapTo, anySwapOutUnderlyingWithPermit"
Common mint,"mint, mintVerify, mintToTreasury, mintExpansion, mintUBI, mint_relative"
Common withdraw,"withdraw, withdrawAll, withdrawTo, withdrawAndUnwrap, emergencyWithdraw, withdrawExactAmount"
Common flash,"flashLoan, flash, receiveFlashLoan, flashLoanSimple, onFlashLoan, flashloan, transferFlashloanAsset"
Common deposit,"deposit, beforeDeposit, depositApeCoin, depositExactAmount, depositAndBorrow, depositFor, depositAll, depositVault"
Common fee,"swapExactTokensForTokensSupportingFeeOnTransferTokens, swapExactTokensForETHSupportingFeeOnTransferTokens, swapExactETHForTokensSupportingFeeOnTransferTokens, removeLiquidityETHSupportingFeeOnTransferTokens, processStakingFees, transferFee, updateUserWithdrawFee"
Common back,fallback
Common burn,"burn, burnFrom, burnToHolder"
Common receive,"receive, onERC721Received, onERC1155Received"
Common call,"DPPFlashLoanCall, pancakeCall, uniswapV2Call, callFunction, DVMFlashLoanCall, joeCall, transferAndCall, callContract, DSPFlashLoanCall, payNativeGasForContractCall, multicall, upgradeToAndCall"
Common liquid,"addLiquidity, removeLiquidity, addLiquidityETH, add_liquidity, remove_liquidity_one_coin, liquidateBorrow, liquidate, liquidateBorrowAllowed, remove_liquidity, remove_liquidity_imbalance, removeLiquidityETH, decreaseLiquidity, requireLiquidity"
Common borrow,"borrow, borrowAllowed, borrowVerify, borrowBalanceCurrent, flywheelPreBorrowerAction, beforeBorrow, borrowExactAmount"
Common exec,"executeOperation, execute, exec, executeAction"
Common callback,"uniswapV3SwapCallback, pancakeV3FlashCallback, uniswapV3FlashCallback, pancakeV3SwapCallback, uniswapV3MintCallback, algebraSwapCallback, verifyCallback, callback"
Common redeem,"redeem, redeemAllowed, redeemVerify, redeemUnderlying, beforeRedeem"
Common repay,"handleRepayment, repayBorrowAllowed, repay, repayBorrow, repayBorrowVerify"
Common allow,"mintAllowed, transferAllowed, seizeAllowed, setAllowance, updateAllowance, allowance"
Common init,"initialize, init"
Common exchange,"exchange, exchange_underlying, updateExchangeRate, exchangeRateCurrent"
Common stake,"stake, unstake, stakeFor, stakeTo"
Common hand,"handleAction, handleActionBefore, handleActionAfter, handle"
Common sell,"sell, sellGem"
Common pair,createPair
Common accrue,"accrueInterest, withdrawAccruedInterest"
Common set,"setUp, setApprovalForAll, setAdmin, setShare, setMasterContractApproval"
Common claim,"claim, claimRewards, claimTokens, claimReward"
Common get,"getReward, getApp, getPool, getPair, get, bridgeToWithAxelar, getCompoundInterestRateAndUpdate"
Common balance,"balanceOf, setBalance, setBalanceOf, totalSupplyAndBalanceCurrent"
Common buy,"buy, buyTokens, buyToken"
Common token,"transferUnderlyingToken, onTokenTransfer, tokensReceived, transferToken, tokensToSend, _BASE_TOKEN_, burnToken, removeLiquidityOneToken, reflectionFromToken, lockTokens, withdrawTokens, tokenFromReflection"
Common add,"addCash, addLiability, autoAddLp, addHolder"
Common remove,"removeCash, remove, removeLiability"
Common pool,"exitPool, onJoinPool, joinPool, onExitPool, createAndInitializePoolIfNecessary, createPool"
Common earn,"earn, convertDustToEarned"
Common move,move
Common checkpoint,checkpoint_gauge
Common implement,setInterfaceImplementer
Common reward,"stashRewards, receiveRewards, accumulateReward, notifyRewardAmount, addReward, distributeRewards, processReward, redeemMarketReward"
Common send,"setMessageSender, send"
Common reentrant,"_beforeNonReentrant, _afterNonReentrant"
Common operat,operate
Common collateral,"setUserUseReserveAsCollateral, addCollateral, registerCollateral"
Common price,"getPrice, fetchPrice, updatePrice"
Common interest,"collectUBIInterest, collectInterest, computeInterestRate, mintInterest"
Common patch,dispatch
Common delegate,delegate
Common Cluster 0,"_emit, _prepare, crossLmTick, frob, flux, a, debond, gulp"
Common Cluster 1,"sync, bond, bindParent, bind, hook"
Common Cluster 2,"process, harvest"
Common Cluster 3,"lock, permit, unlock"
Common Cluster 4,"exit, migrate, exitMarket, start, leave, leaveStaking"
Common Cluster 5,"write, collect, suck, unwrap, heal, work, flywheelPreSupplierAction, run"
Common Cluster 6,"skim, attack, exploit, seize, rebase, requireToPassMessage, curveSecurityCheck, is_trusted"
Common Cluster 7,"preventBotPurchase, invest"
Common Cluster 8,"identity, verify"
Common Cluster 9,"exactInputSingle, future_epoch_time_write, exactInput, exactOutputSingle, quoteExactInputSingle"
Common Cluster 10,"supply, distribute, deliver, onDistribution, distributeETHDividends"
Common Cluster 11,"enterMarkets, update, enter, join, check, slip, submit, trade, invite, validation, convert"
